Player,Position,Opponent,Minutes,Goals,Assists,PKMissed,Goals Against,Saves,Clean Sheet,Yellow Cards,Red Cards,Match URL
Adriana,"FW,RW",Louisville,90,0,0,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Angelina,LW,Louisville,90,0,0,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Julie Doyle,"RW,FW,LB",Louisville,82,0,0,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Amanda Allen,LB,Louisville,8,0,1,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Marta,AM,Louisville,70,0,0,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Brianna Martinez,"RW,AM",Louisville,20,0,0,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Morgan Gautrat,DM,Louisville,70,0,0,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Summer Yates,"AM,DM",Louisville,20,1,0,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Luana,DM,Louisville,74,0,0,0,2,0,False,1,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Ally Lemos,"DM,AM",Louisville,16,0,0,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Kerry Abello,"LB,CB",Louisville,90,0,0,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Kylie Strom,CB,Louisville,61,0,0,0,2,0,False,2,1,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Emily Sams,CB,Louisville,90,0,0,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Haley Hanson,RB,Louisville,82,0,0,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Celia Jiménez,RB,Louisville,8,0,0,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Anna Moorhouse,GK,Louisville,90,0,0,0,2,2,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
